impl,event,direction,role,horizon,mean_ret_dir,median_ret_dir,win_rate,mae_mean_dir,signal_count,ret_p25,ret_p75,composite_rank,symbols_processed,symbols_scored,symbols_failed,bars_evaluated
kapman_v0_claude,SOS,UP,ENTRY,40,0.14639318261749373,0.023799013291495474,0.5565476190476191,-0.11483225998331865,336,-0.07040015764419827,0.18156936326676454,27.333333333333332,97,97,0,47519
kapman_v0_claude,SPRING,UP,ENTRY,5,0.01366535648424277,0.01050884955752207,0.5794392523364486,-0.03160264111921605,321,-0.025044722719141266,0.04496487119437931,23.333333333333332,97,97,0,47519
kapman_v0_claude,SPRING,UP,ENTRY,10,0.022445219020841272,0.01859296482412076,0.5878594249201278,-0.045013565809847646,313,-0.02689352360043895,0.06441843333060482,22.0,97,97,0,47519
kapman_v0_claude,SPRING,UP,ENTRY,20,0.06271491909630413,0.03503184713375784,0.6454849498327759,-0.06085168673771453,299,-0.03491913656053913,0.117675380128751,17.0,97,97,0,47519
kapman_v0_claude,SPRING,UP,ENTRY,40,0.09015291675359305,0.05380116959064307,0.6723549488054608,-0.09443395214385451,293,-0.033205619412515985,0.1657824933687002,21.666666666666668,97,97,0,47519
kapman_v0_claude,ST,DOWN,ENTRY,5,0.009600135034478404,-0.0025673594629190277,0.48008110687022904,-0.0376220632751949,8384,-0.03500841606755678,0.03549911764874941,34.0,97,97,0,47519
kapman_v0_claude,ST,DOWN,ENTRY,10,0.016959823628280014,-0.0035128713666571776,0.48239008987126547,-0.059664217861974324,8234,-0.05332327953952817,0.05549462201631261,36.0,97,97,0,47519
kapman_v0_claude,ST,DOWN,ENTRY,20,0.032670009614515945,-0.00884558682135761,0.4657260581845424,-0.09087770040456379,8009,-0.08371054882246187,0.08645975021639662,40.666666666666664,97,97,0,47519
kapman_v0_claude,ST,DOWN,ENTRY,40,0.056235232746282816,-0.025077374811522946,0.43972020298998765,-0.14082713402380542,7291,-0.13218650519220543,0.1069046055523627,45.666666666666664,97,97,0,47519
kapman_v0_claude,TEST,UP,ENTRY,5,0.004785689063190242,0.003561887800534125,0.5443786982248521,-0.024648088919060767,169,-0.020679468242245203,0.035410251765984446,28.333333333333332,97,97,0,47519
kapman_v0_claude,TEST,UP,ENTRY,10,0.01378559404046272,0.014255943923463299,0.6073619631901841,-0.03562107274213771,163,-0.015070090856059426,0.05724772004357015,21.666666666666668,97,97,0,47519
kapman_v0_claude,TEST,UP,ENTRY,20,0.03824156635448607,0.028129565279937707,0.6233766233766234,-0.05668603954875146,154,-0.040978743791674876,0.09728123867569338,20.333333333333332,97,97,0,47519
kapman_v0_claude,TEST,UP,ENTRY,40,0.08629533653418273,0.1029860592584757,0.7132352941176471,-0.07916174063431505,136,-0.02775526170628373,0.15392046716214774,19.0,97,97,0,47519
kapman_v0_handwritten_structural,BC,DOWN,ENTRY,5,0.04074942186670987,0.01641760770618661,0.6022727272727273,-0.03656155826052473,88,-0.027566699210908874,0.0667762628921465,16.0,97,97,0,47519
kapman_v0_handwritten_structural,BC,DOWN,ENTRY,10,0.03827219841631392,0.012557736720554269,0.5764705882352941,-0.06548307966643253,85,-0.044850362880208716,0.08975808274926522,26.0,97,97,0,47519
kapman_v0_handwritten_structural,BC,DOWN,ENTRY,20,0.09048351113034417,0.033687466379773934,0.5542168674698795,-0.09187749318308822,83,-0.08252133109185134,0.1565816936409009,28.333333333333332,97,97,0,47519
