symbol,event,direction,role,event_date,bar_index,impl
KNGZ,BC,DOWN,ENTRY,2025-07-01,376,kapman_v0_handwritten_structural
KNO,SC,NA,IGNORE,2024-12-27,111,kapman_v0_handwritten_structural
KNOP,BC,DOWN,ENTRY,2025-08-29,418,kapman_v0_handwritten_structural
KNOP,SOS,UP,ENTRY,2025-09-10,425,kapman_v0_handwritten_structural
KNOV,BC,DOWN,ENTRY,2025-10-22,242,kapman_v0_handwritten_structural
KNSA,BC,DOWN,ENTRY,2025-10-28,459,kapman_v0_handwritten_structural
KNSL,SPRING,UP,ENTRY,2024-02-08,28,kapman_v0_handwritten_structural
KNSL,SOW,DOWN,ENTRY,2024-04-26,82,kapman_v0_handwritten_structural
KNSL,SOS,UP,ENTRY,2024-12-04,235,kapman_v0_handwritten_structural
KNSL,SC,NA,IGNORE,2025-10-02,441,kapman_v0_handwritten_structural
KNSL,BC,DOWN,ENTRY,2025-10-03,442,kapman_v0_handwritten_structural
KNSL,AR,NA,IGNORE,2025-10-03,442,kapman_v0_handwritten_structural
KNTK,BC,DOWN,ENTRY,2024-11-07,217,kapman_v0_handwritten_structural
KNTK,SOS,UP,ENTRY,2024-11-25,229,kapman_v0_handwritten_structural
KNTK,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KNX,SOS,UP,ENTRY,2024-03-05,45,kapman_v0_handwritten_structural
KNX,SC,NA,IGNORE,2025-02-21,287,kapman_v0_handwritten_structural
KNX,BC,DOWN,ENTRY,2025-10-08,445,kapman_v0_handwritten_structural
KO,SC,NA,IGNORE,2025-09-03,420,kapman_v0_handwritten_structural
KO,BC,DOWN,ENTRY,2025-11-21,477,kapman_v0_handwritten_structural
KOCT,BC,DOWN,ENTRY,2024-10-11,198,kapman_v0_handwritten_structural
KOCT,SOS,UP,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KOCT,SC,NA,IGNORE,2025-04-04,317,kapman_v0_handwritten_structural
KOCT,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KOD,BC,DOWN,ENTRY,2025-09-22,433,kapman_v0_handwritten_structural
KOD,SOS,UP,ENTRY,2025-10-31,462,kapman_v0_handwritten_structural
KODK,SPRING,UP,ENTRY,2024-02-29,42,kapman_v0_handwritten_structural
KODK,SOW,DOWN,ENTRY,2024-03-04,44,kapman_v0_handwritten_structural
KODK,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KODK,AR,NA,IGNORE,2025-05-05,337,kapman_v0_handwritten_structural
KODK,BC,DOWN,ENTRY,2025-11-10,468,kapman_v0_handwritten_structural
KOF,SC,NA,IGNORE,2025-01-22,266,kapman_v0_handwritten_structural
KOF,AR,NA,IGNORE,2025-01-29,271,kapman_v0_handwritten_structural
KOF,BC,DOWN,ENTRY,2025-12-19,496,kapman_v0_handwritten_structural
KOKU,SOW,DOWN,ENTRY,2024-03-06,46,kapman_v0_handwritten_structural
KOKU,SC,NA,IGNORE,2025-03-05,295,kapman_v0_handwritten_structural
KOKU,AR,NA,IGNORE,2025-03-07,297,kapman_v0_handwritten_structural
KOKU,SPRING,UP,ENTRY,2025-04-30,334,kapman_v0_handwritten_structural
KOKU,BC,DOWN,ENTRY,2025-11-07,467,kapman_v0_handwritten_structural
KOMP,BC,DOWN,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KOMP,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KOMP,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KOMP,SOS,UP,ENTRY,2025-07-16,386,kapman_v0_handwritten_structural
KONG,SC,NA,IGNORE,2024-06-17,117,kapman_v0_handwritten_structural
KONG,AR,NA,IGNORE,2024-06-24,121,kapman_v0_handwritten_structural
KONG,SOW,DOWN,ENTRY,2025-04-07,318,kapman_v0_handwritten_structural
KOOL,SC,NA,IGNORE,2025-04-09,256,kapman_v0_handwritten_structural
KOP,BC,DOWN,ENTRY,2024-02-28,41,kapman_v0_handwritten_structural
KOP,SOW,DOWN,ENTRY,2025-04-07,318,kapman_v0_handwritten_structural
KOP,SC,NA,IGNORE,2025-08-11,404,kapman_v0_handwritten_structural
KOP,AR,NA,IGNORE,2025-08-12,405,kapman_v0_handwritten_structural
KOPN,SPRING,UP,ENTRY,2024-04-25,81,kapman_v0_handwritten_structural
KOPN,SC,NA,IGNORE,2024-06-26,123,kapman_v0_handwritten_structural
KOPN,AR,NA,IGNORE,2024-07-02,127,kapman_v0_handwritten_structural
KOPN,BC,DOWN,ENTRY,2025-10-14,449,kapman_v0_handwritten_structural
KORE,SOW,DOWN,ENTRY,2024-02-29,42,kapman_v0_handwritten_structural
KORE,SPRING,UP,ENTRY,2024-07-23,141,kapman_v0_handwritten_structural
KORE,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KORE,AR,NA,IGNORE,2025-04-17,326,kapman_v0_handwritten_structural
KORE,BC,DOWN,ENTRY,2025-11-04,464,kapman_v0_handwritten_structural
KORP,BC,DOWN,ENTRY,2024-08-13,156,kapman_v0_handwritten_structural
KORP,SOS,UP,ENTRY,2024-09-06,173,kapman_v0_handwritten_structural
KORP,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KORP,AR,NA,IGNORE,2025-04-23,329,kapman_v0_handwritten_structural
KORU,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KORU,BC,DOWN,ENTRY,2025-11-05,465,kapman_v0_handwritten_structural
KOS,SC,NA,IGNORE,2025-12-05,486,kapman_v0_handwritten_structural
